1.670145786713401678e-02,5.360115959273364233e-03,6.436080103422882059e-01,3.211144587269884054e-01,8.164467745838538404e-03,6.776695039828647656e-04,2.101664855206408344e-03,2.272154999288317646e-03
1.540883368513125580e-02,4.862851508309320482e-03,6.443643919950026167e-01,3.232829196560795815e-01,7.542093466084035663e-03,5.640599526759082147e-04,1.751217169281866527e-03,2.223632567435585190e-03
1.452310054484234197e-02,4.527933397951316476e-03,6.448731395260945964e-01,3.247536615626065992e-01,7.111038402783235665e-03,4.931568217770567961e-04,1.532941345449232058e-03,2.185028398495718512e-03
1.385636265454319623e-02,4.278842137800992554e-03,6.452512455045020801e-01,3.258528945844638702e-01,6.784353727991315579e-03,4.433844109668130524e-04,1.379866583835260077e-03,2.153050395896447238e-03
1.332381917394431792e-02,4.081918057150747160e-03,6.455505194215829246e-01,3.267261478293479460e-01,6.522045206445809852e-03,4.058157123889613691e-04,1.264393236738867816e-03,2.125341362400475290e-03
1.288330079553342070e-02,3.920294119935273033e-03,6.457962523311568948e-01,3.274453718832217031e-01,6.304236675136992707e-03,3.761706802636940062e-04,1.173299984614230036e-03,2.101073530137829645e-03
1.250874959865035628e-02,3.783841496919906726e-03,6.460039818189838856e-01,3.280546817996078945e-01,6.118483811332207228e-03,3.519748810239701022e-04,1.098957850240967708e-03,2.079328743240954538e-03
1.218378629190087006e-02,3.666168591011383527e-03,6.461833285311204822e-01,3.285817107629824818e-01,5.956896514816351594e-03,3.317237612523611916e-04,1.036738970465576979e-03,2.059646576450451655e-03
1.189793428254247443e-02,3.563177704929741153e-03,6.463404131189984803e-01,3.290440652648752295e-01,5.814485268528208663e-03,3.144708013220531622e-04,9.837254144712164264e-04,2.041728144332494339e-03
1.164314671400088104e-02,3.471791969730333039e-03,6.464799027086789440e-01,3.294552137658230406e-01,5.687317878215965988e-03,2.995309597370130069e-04,9.378154187457564319e-04,2.025280585068105470e-03
1.141354433715228642e-02,3.389814689351424576e-03,6.466052266416318917e-01,3.298249381096742261e-01,5.572549942175753640e-03,2.864219900264972259e-04,8.975241951019543619e-04,2.009980094886008092e-03
1.120450414089320217e-02,3.315508963647126935e-03,6.467190337469476136e-01,3.301609265351485023e-01,5.467885077830159438e-03,2.747778483598545631e-04,8.617319072330568205e-04,1.995631779940503121e-03
1.101369835909381950e-02,3.247887100458884783e-03,6.468226220541000160e-01,3.304670716865553137e-01,5.372268567521746967e-03,2.643843348072807986e-04,8.297749052366446779e-04,1.982292992226185845e-03
1.083790482112419531e-02,3.185802558024231155e-03,6.469178511178729218e-01,3.307486905053299009e-01,5.284072555562644401e-03,2.550090175070540179e-04,8.009433431944354680e-04,1.969726081384621467e-03
1.067503053213518863e-02,3.128483255223933179e-03,6.470059214754584342e-01,3.310092314757129284e-01,5.202281069640136112e-03,2.464944687864288261e-04,7.747524699747820442e-04,1.957805253068216518e-03
1.052407277124439711e-02,3.075440199881138148e-03,6.470873353139682260e-01,3.312503946221236895e-01,5.126418342896895547e-03,2.387428383960874575e-04,7.509036999012606763e-04,1.946692211588232045e-03
1.038269831059208254e-02,3.025960394903042840e-03,6.471635022391585279e-01,3.314759579622353902e-01,5.055315282285525146e-03,2.316137847448700854e-04,7.289639541214650020e-04,1.935988071959094531e-03
1.025007831039240376e-02,2.979674768096407956e-03,6.472348483559606791e-01,3.316873082222169256e-01,4.988563704891695906e-03,2.250371665145152098e-04,7.087198111254620599e-04,1.925769660801918744e-03
1.012588568997556220e-02,2.936377577618280461e-03,6.473015162767913333e-01,3.318850102973815996e-01,4.926036514150126944e-03,2.189708150758435420e-04,6.900409109460742697e-04,1.916161918061175902e-03
