eq_ratio,H2,O2,N2,H2O,OH,O,H,NO
0.7,0.000244714718786,0.05158327091058,0.685330462779344,0.254757555513622,0.002390403226293,0.000117071257031,1.71167948787362E-05,0.005534504294847
0.8,0.000891214550374,0.03215239427726,0.672085658661057,0.284292669302303,0.004135380313194,0.000241869788626,7.69438604400537E-05,0.006101696911083
0.9,0.003003673971802,0.014868735934017,0.659416949545351,0.310946244459255,0.005748307098124,0.000349000023641,0.0002762621178,0.005375181200515
1,0.011498065449232,0.003030445490023,0.646205182304179,0.329843613853534,0.005448585167002,0.000258870507161,0.000841881237833,0.002867055873596
1.1,0.03594455437895,0.000325486070265,0.628369473813517,0.329644680573083,0.003168520014875,8.7009748839285E-05,0.001522477064013,0.000934927523855
1.2,0.06541301602193,6.63708040489568E-05,0.608903208354827,0.321549456555235,0.00188298987802,3.30020387635641E-05,0.001757709835991,0.000390564605911
1.3,0.094159832495028,2.00992122703367E-05,0.590143628337037,0.312501126551509,0.001207013169179,1.47503055839243E-05,0.001751564793111,0.000196478194348
